LUND,['mc_v9-8GeV-1e-target_photonuclear_47039_t1589610531.root', '22.096MB', '36bae0fd', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47070_t1589610585.root', '18.415MB', 'e238ffd2', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47071_t1589610599.root', '19.150MB', '3faa30cc', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47112_t1589610603.root', '21.144MB', '572b2406', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47141_t1589610551.root', '21.890MB', '460dfea9', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47142_t1589610515.root', '18.731MB', '13cb8988', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47143_t1589610524.root', '19.675MB', 'fb1d231e', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47144_t1589610537.root', '20.615MB', '97466cd1', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47146_t1589610532.root', '20.538MB', '3ebe1ffe', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47147_t1589610520.root', '19.650MB', '63405e1a', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47174_t1589610559.root', '22.514MB', 'b206be5a', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47175_t1589610545.root', '21.923MB', 'a702afb0', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47176_t1589610517.root', '19.548MB', '1fa21228', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47177_t1589610555.root', '21.063MB', '6f6f035a', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47179_t1589610542.root', '21.523MB', '0a808268', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47180_t1589610565.root', '22.623MB', '717e317f', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47181_t1589610535.root', '20.214MB', 'ddcbfbc9', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
LUND,['mc_v9-8GeV-1e-target_photonuclear_47182_t1589610557.root', '21.347MB', '15c30529', '/projects/hep/fs7/scratch/pflorido/ldmx-pilot/pilotoutput/ldmx/mc-data/v9/8.0GeV/', '']
